Drink Name,Calories,Fat,Protein,Carbohydrates,Ingredients
Caprisun,No Info,No Info,No Info,No Info,No Info
Seltzer,0.0,0.0,0.0,0.0,No Info
Jarritos,No Info,No Info,No Info,No Info,No Info
Coffee,2.37,0.05,0.28,0.0,No Info
Iced Coffee,88.53,0.0,0.0,22.18,No Info
Chai Latte,0.01,0.0,0.0,0.0,No Info
Iced Chai,88.53,0.0,0.0,22.18,No Info
Tea,0.01,0.0,0.0,0.0,No Info
Hot Chocolate,113.3,1.13,1.9,23.77,No Info
Apple Cider,57.5,0.16,0.13,14.13,No Info
Dr.Pepper,0.25,0.0,0.01,0.06,No Info
Viet Coffee,5.58,0.14,0.36000000000000004,0.54,"coffee, condensed milk"
Vanilla Ice (Whole Milk),242.70000000000002,7.829999999999999,8.08,35.95,"iced chai, whole milk, vanilla syrup, cinnamon"
Vanilla Ice (Oat Milk),96.84,0.03,0.1,24.66,"iced chai, oat milk, vanilla syrup, cinnamon"
Apple Chai-der (Milk),203.91,7.97,8.13,25.520000000000003,"apple cider, chai, milk"
Apple Chai-der (No Milk),57.51,0.16,0.13,14.13,"apple cider, chai"
